"Carimbo de data/hora","Qual sua faixa etária?","Você mora em:","Cidade/Estado onde reside:","Você já possui energia solar instalada?","Você considera instalar energia solar nos próximos anos?","Você possui ou pretende ter um carro elétrico?","Você tem acesso a um carregador atualmente?","Você teria um carregador em casa ou no trabalho?","Onde você mais utilizaria um ponto de recarga?","Você consideraria utilizar um carregador compartilhado em condomínio ou ambiente comercial?","Você utilizaria um aplicativo para monitorar e pagar a recarga do seu veículo?","Quantas vezes por semana você acredita que precisaria recarregar?","Quantos veículos existem na sua residência?","Quanto tempo você acha aceitável para uma recarga completa? (em minutos)","Quanto você estaria disposto a pagar por uma recarga completa? (R$)"
"2026/05/05 7:38:41 PM GMT-3","26–35","Apartamento","Niteroi/RJ","Não","Sim, em até 5 anos","Pretendo ter","Sim","Com certeza teria","Residência","Sim","Com certeza utilizaria","1","1","600","Aqui é bem subjetivo ne.. Mas aceitaria pagar ate o dobro o preco do kwh que eu tiver em casa"
"2026/05/06 10:35:29 AM GMT-3","18–25","Condomínio Residêncial","Guarulhos/SP","Não","Sim, em até 5 anos","Talvez no futuro","Não","Não teria","Shopping","Sim","Com certeza utilizaria","2","2","90","70"
"2026/05/06 10:39:50 AM GMT-3","18–25","Apartamento","Mogi das Cruzes/SP","Não","Talvez","Talvez no futuro","Não","Provavelmente teria","Residência","Sim","Com certeza utilizaria","4","1","120","35"
"2026/05/06 8:25:12 PM GMT-3","18–25","Casa","Londrina/PR","Não","Sim, em até 5 anos","Talvez no futuro","Não","Provavelmente teria","Trabalho","Sim","Provavelmente utilizaria","3","1","30","20"
"2026/05/07 12:37:42 AM GMT-3","Até 18","Apartamento","Osasco/SP","Não","Não pretendo","Talvez no futuro","Não","Não teria","Condomínio","Sim","Com certeza utilizaria","3","2","540","20"
"2026/05/09 11:10:39 PM GMT-3","18–25","Casa","Sao paulo/SP","Sim","Sim, em até 2 anos","Pretendo ter","Não","Não teria","Residência","Sim","Com certeza utilizaria","1","1","50","90"
"2026/05/12 6:23:43 PM GMT-3","18–25","Apartamento","Barueri/SP","Não","Talvez","Pretendo ter","Não","Com certeza teria","Residência","Sim","Com certeza utilizaria","2 ","2","240","150,00"
"2026/05/12 6:24:38 PM GMT-3","18–25","Casa","Osasco/SP","Não","Não pretendo","Não tenho interesse","Sim","Provavelmente não teria","Shopping","Sim","Talvez utilizaria","2","1","60","50"
"2026/05/12 6:25:05 PM GMT-3","36–50","Casa","Barueri ","Não","Talvez","Pretendo ter","Sim","Com certeza teria","Residência","Sim","Com certeza utilizaria","3 ","1","60","35"
"2026/05/12 6:28:13 PM GMT-3","36–50","Apartamento","Barueri/SP","Não","Talvez","Talvez no futuro","Não","Não teria","Trabalho","Sim","Com certeza utilizaria","2","2","30","20"
