Quantidade_Missoes,Frequencia_Absoluta,Frequencia_Relativa,Frequencia_Percentual,Frequencia_Acumulada,Frequencia_Relativa_Acumulada,Frequencia_Percentual_Acumulada
3,1,0.0156,1.56,1,0.0156,1.56
20,1,0.0156,1.56,2,0.0312,3.12
22,1,0.0156,1.56,3,0.0469,4.69
34,1,0.0156,1.56,4,0.0625,6.25
36,1,0.0156,1.56,5,0.0781,7.81
37,1,0.0156,1.56,6,0.0938,9.38
38,2,0.0312,3.12,8,0.125,12.5
39,1,0.0156,1.56,9,0.1406,14.06
41,1,0.0156,1.56,10,0.1562,15.62
42,1,0.0156,1.56,11,0.1719,17.19
46,4,0.0625,6.25,15,0.2344,23.44
47,1,0.0156,1.56,16,0.25,25.0
49,4,0.0625,6.25,20,0.3125,31.25
50,1,0.0156,1.56,21,0.3281,32.81
52,3,0.0469,4.69,24,0.375,37.5
53,1,0.0156,1.56,25,0.3906,39.06
54,1,0.0156,1.56,26,0.4062,40.62
56,2,0.0312,3.12,28,0.4375,43.75
57,2,0.0312,3.12,30,0.4688,46.88
60,2,0.0312,3.12,32,0.5,50.0
61,2,0.0312,3.12,34,0.5312,53.12
62,2,0.0312,3.12,36,0.5625,56.25
63,1,0.0156,1.56,37,0.5781,57.81
64,1,0.0156,1.56,38,0.5938,59.38
66,2,0.0312,3.12,40,0.625,62.5
67,2,0.0312,3.12,42,0.6562,65.62
69,1,0.0156,1.56,43,0.6719,67.19
71,1,0.0156,1.56,44,0.6875,68.75
76,1,0.0156,1.56,45,0.7031,70.31
81,1,0.0156,1.56,46,0.7188,71.88
86,1,0.0156,1.56,47,0.7344,73.44
88,1,0.0156,1.56,48,0.75,75.0
90,1,0.0156,1.56,49,0.7656,76.56
93,1,0.0156,1.56,50,0.7812,78.12
96,1,0.0156,1.56,51,0.7969,79.69
97,1,0.0156,1.56,52,0.8125,81.25
98,1,0.0156,1.56,53,0.8281,82.81
99,1,0.0156,1.56,54,0.8438,84.38
100,1,0.0156,1.56,55,0.8594,85.94
101,1,0.0156,1.56,56,0.875,87.5
102,1,0.0156,1.56,57,0.8906,89.06
106,1,0.0156,1.56,58,0.9062,90.62
107,1,0.0156,1.56,59,0.9219,92.19
109,2,0.0312,3.12,61,0.9531,95.31
112,1,0.0156,1.56,62,0.9688,96.88
116,1,0.0156,1.56,63,0.9844,98.44
117,1,0.0156,1.56,64,1.0,100.0
