sessao_id,duracao_min,potencia_media_kw,energia_consumida_kwh,tarifa_kwh,custo_total
1,35,9.7,5.79,3.05,17.66
2,77,7.3,10.04,2.25,22.59
3,105,8.8,16.78,2.65,44.47
4,78,5.4,7.85,1.85,14.52
5,102,6.9,10.18,2.45,24.94
6,24,7.9,3.12,2.65,8.27
7,23,9.9,3.72,2.75,10.23
8,103,7.3,11.61,2.45,28.44
9,50,8.3,5.99,1.85,11.08
10,115,10.0,15.86,2.65,42.03
11,49,10.5,8.66,2.35,20.35
12,49,7.0,5.91,3.05,18.03
13,55,7.0,6.18,2.55,15.76
14,74,9.8,12.68,2.05,25.99
15,80,5.9,7.44,1.85,13.76
16,83,5.8,8.13,2.75,22.36
17,22,7.3,2.82,2.55,7.19
18,55,6.4,5.49,2.45,13.45
19,95,8.2,12.27,1.85,22.70
20,89,7.7,10.01,2.90,29.03
21,85,6.9,9.68,2.75,26.62
22,69,8.7,8.37,2.65,22.18
23,44,8.1,5.49,2.55,14.00
24,118,7.9,13.56,2.45,33.22
25,124,7.3,15.98,2.90,46.34
26,124,6.9,14.70,1.95,28.67
27,93,9.9,13.52,2.75,37.18
28,45,11.2,8.62,2.25,19.40
29,33,7.0,3.49,2.25,7.85
30,55,7.4,6.56,2.15,14.10
31,64,5.8,5.85,2.75,16.09
32,21,7.0,2.64,2.55,6.73
33,102,8.2,14.77,1.85,27.32
34,61,6.9,7.04,1.85,13.02
35,131,9.2,18.93,1.85,35.02
36,75,8.0,8.81,2.45,21.58
37,41,7.2,5.35,2.55,13.64
38,55,9.4,8.18,2.25,18.41
39,64,7.7,7.76,2.55,19.79
40,30,7.4,3.60,2.55,9.18
41,91,8.1,10.71,1.95,20.88
42,36,8.1,5.11,2.65,13.54
43,105,8.1,14.48,2.15,31.13
44,112,7.4,13.39,2.55,34.14
45,21,7.7,2.08,2.55,5.30
46,88,10.0,12.58,2.35,29.56
47,33,8.2,4.54,2.35,10.67
48,25,7.7,3.22,1.95,6.28
49,82,8.0,9.26,2.15,19.91
50,86,7.7,9.44,3.05,28.79
51,105,7.4,11.44,2.75,31.46
52,104,11.1,20.52,2.90,59.51
53,84,10.1,14.67,3.05,44.74
54,81,7.5,10.34,2.05,21.20
55,127,5.8,12.42,1.85,22.98
56,40,11.0,7.54,2.90,21.87
57,91,8.3,11.92,2.05,24.44
58,46,10.8,8.73,2.45,21.39
59,66,8.2,8.04,1.85,14.87
60,38,10.8,6.81,2.45,16.68
61,34,7.6,4.44,2.15,9.55
62,35,9.9,5.55,2.35,13.04
63,106,5.5,10.30,2.75,28.33
64,57,8.3,7.37,2.45,18.06
65,83,7.1,8.98,2.90,26.04
66,73,11.2,14.39,2.25,32.38
67,30,10.8,5.53,1.85,10.23
68,39,8.2,5.07,2.05,10.39
69,38,7.1,4.65,2.65,12.32
70,30,5.4,2.54,2.75,6.99
71,45,8.1,5.45,2.65,14.44
72,105,8.8,15.50,3.05,47.28
73,114,6.3,10.23,2.15,21.99
74,131,8.2,15.87,2.45,38.88
75,132,6.8,13.25,3.05,40.41
76,124,7.2,16.08,2.45,39.40
77,126,7.2,12.91,2.15,27.76
78,36,7.3,4.21,3.05,12.84
79,104,5.6,8.45,2.45,20.70
80,43,7.4,4.64,3.05,14.15
81,86,9.8,13.55,2.35,31.84
82,36,9.1,5.36,2.45,13.13
83,74,7.4,7.63,2.35,17.93
84,26,7.5,3.35,2.55,8.54
85,49,7.7,6.31,1.95,12.30
86,93,7.6,11.04,2.90,32.02
87,124,7.0,14.11,1.85,26.10
88,120,5.9,10.12,2.15,21.76
89,18,6.9,1.73,2.35,4.07
90,38,7.3,4.31,2.55,10.99
91,34,8.3,5.31,1.85,9.82
92,120,10.3,20.69,2.65,54.83
93,30,7.2,3.63,1.85,6.72
94,72,6.7,6.69,2.05,13.71
95,100,6.5,9.54,2.45,23.37
96,108,9.0,14.02,1.95,27.34
97,80,8.1,9.17,1.95,17.88
98,32,7.6,3.82,2.65,10.12
99,56,8.2,7.12,3.05,21.72
100,80,8.4,11.22,3.05,34.22
101,20,7.2,2.58,3.05,7.87
102,84,10.5,12.43,2.75,34.18
103,111,8.4,13.33,2.65,35.32
104,118,6.8,13.36,2.15,28.72
105,98,8.4,12.93,1.85,23.92
106,69,6.8,7.48,2.05,15.33
107,83,7.7,9.43,3.05,28.76
108,62,7.1,6.91,2.90,20.04
109,91,7.4,12.12,2.25,27.27
110,102,6.5,9.62,2.35,22.61
111,84,10.7,14.30,2.65,37.90
112,41,7.3,4.54,2.65,12.03
113,71,11.0,12.69,2.90,36.80
114,102,7.0,11.91,2.05,24.42
115,110,8.4,14.71,2.25,33.10
116,69,7.3,8.70,2.15,18.71
117,27,10.8,4.29,3.05,13.08
118,131,10.4,22.74,1.85,42.07
119,26,7.5,2.99,2.35,7.03
120,126,7.7,16.54,2.65,43.83
